Index	Length
0	6
1	8.61
2	11.27
3	13.96
4	16.7
5	19.48
6	22.32
7	25.22
8	28.19
9	31.23
10	34.36
11	37.59
12	40.94
13	44.43
14	48.09
15	51.95
16	56.06
17	60.47
18	65.2
19	70.19
20	75.17
21	79.72
22	86.99
23	89.9
24	92.49
25	94.85
26	97.03
27	99.08
28	101.03
29	102.89
30	104.68
31	106.28
32	105.73
33	90.35
34	79.42
35	71.52
36	65.15
37	59.72
38	54.97
39	50.72
40	46.85
41	43.31
42	40.02
43	36.96
44	34.08
45	31.35
46	28.76
47	26.29
48	23.92
49	21.62
50	19.4
51	17.22
52	15.07
53	12.94
54	10.79
55	8.59
